,i_dc,v_dc,p_dc,p_ac
2020-08-27 23:00:00+02:00,0.0,,0.0,0.0
2020-08-28 00:00:00+02:00,0.0,,0.0,0.0
2020-08-28 01:00:00+02:00,0.0,,0.0,0.0
2020-08-28 02:00:00+02:00,0.0,,0.0,0.0
2020-08-28 03:00:00+02:00,0.0,,0.0,0.0
2020-08-28 04:00:00+02:00,0.0,,0.0,0.0
2020-08-28 05:00:00+02:00,0.0,,0.0,0.0
2020-08-28 06:00:00+02:00,0.0,,0.0,0.0
2020-08-28 07:00:00+02:00,0.0,,0.0,0.0
2020-08-28 08:00:00+02:00,0.600008198839686,585.958595859586,351.57996169634174,178.216238899264
2020-08-28 09:00:00+02:00,29.460113011301125,577.3977397739775,17010.202666211215,16346.176978587227
2020-08-28 10:00:00+02:00,43.023483348334835,535.5535553555355,23041.379470980402,22301.798973848527
2020-08-28 11:00:00+02:00,46.45243324332433,498.9098909890989,23175.578405605334,22827.71480832073
2020-08-28 12:00:00+02:00,16.86002127485476,592.1992199219922,9984.49144683718,9839.82231527584
2020-08-28 13:00:00+02:00,56.519747974797475,410.02100210021,23174.283703077777,23124.901114961303
2020-08-28 14:00:00+02:00,35.94265226522652,557.955795579558,20054.411139883865,19934.14977491158
2020-08-28 15:00:00+02:00,28.860129012901293,574.1974197419743,16571.411612628413,16516.495459825983
2020-08-28 16:00:00+02:00,17.640015819763796,594.1994199419942,10481.687167871249,10300.485092071034
2020-08-28 17:00:00+02:00,11.039244674467447,602.8402840284028,6654.901395014989,6387.616705146977
2020-08-28 18:00:00+02:00,7.079987737904224,609.4009400940095,4314.551183332894,4182.452966185459
2020-08-28 19:00:00+02:00,4.260251769857837,605.5605560556055,2579.8404306919892,2430.290481449884
2020-08-28 20:00:00+02:00,1.9798363169650293,592.8392839283929,1173.7247444449747,1029.5472227192924
2020-08-28 21:00:00+02:00,0.0,,0.0,0.0
2020-08-28 22:00:00+02:00,0.0,,0.0,0.0
2020-08-28 23:00:00+02:00,0.0,,0.0,0.0
2020-08-29 00:00:00+02:00,0.0,,0.0,0.0
2020-08-29 01:00:00+02:00,0.0,,0.0,0.0
2020-08-29 02:00:00+02:00,0.0,,0.0,0.0
