,ghi,dhi,dni,temp_air,wind_speed,solar_azimuth,solar_elevation
2021-10-04 01:00:00+02:00,0.0,0.0,-0.0,17.760000000000048,2.65,340.4385554229777,-48.95977619879549
2021-10-04 02:00:00+02:00,0.0,0.0,-0.0,17.650000000000034,2.59,129.4791618078653,-50.4964748420748
2021-10-04 03:00:00+02:00,0.0,0.0,-0.0,17.55000000000001,2.66,25.982027134669796,-47.749159823853205
2021-10-04 04:00:00+02:00,0.0,0.0,-0.0,17.49000000000001,2.82,45.1232488404089,-41.455246123265624
2021-10-04 05:00:00+02:00,0.0,0.0,-0.0,17.660000000000025,3.09,60.54047407326097,-32.83257352174093
2021-10-04 06:00:00+02:00,0.0,0.0,-0.0,17.80000000000001,3.46,73.23306195194876,-22.881189500949212
2021-10-04 07:00:00+02:00,0.0,0.0,-0.0,17.900000000000034,3.71,84.33112226393055,-12.266947365722594
2021-10-04 08:00:00+02:00,54.831293916138506,21.893847726690577,0.0,18.060000000000002,3.81,94.76440287964529,-1.2994249351680038
2021-10-04 09:00:00+02:00,104.78502044794665,74.83870410728859,185.10407024545327,18.54000000000002,3.96,105.31519216311781,9.310285321074105
2021-10-04 10:00:00+02:00,194.63388990939995,152.28752209764443,127.75151176765283,19.390000000000043,4.6,116.73105591843296,19.358295770641934
2021-10-04 11:00:00+02:00,81.09272750866644,81.09272750866644,0.0,20.060000000000002,5.63,129.79174816346688,28.391676011662295
2021-10-04 12:00:00+02:00,241.62866462412234,234.78534769038225,11.728607002336117,20.58000000000004,6.19,145.2225085378566,35.69513594927472
2021-10-04 13:00:00+02:00,139.6123031530076,136.23562529910993,5.210778173144702,21.010000000000048,6.5,163.26919905633184,40.392330882541835
2021-10-04 14:00:00+02:00,165.35610458604972,165.35610458604972,0.0,21.390000000000043,6.54,183.01378882160776,41.672501565713695
2021-10-04 15:00:00+02:00,134.41783376238777,134.41783376238777,0.0,21.49000000000001,6.17,202.41427943814685,39.26798928497567
