,g_poa,t_mod,i_dc,v_dc,p_dc,p_ac
2020-09-11 20:00:00+02:00,17.37357329909198,23.085919555417078,0.9600010731000109,590.1990199019901,566.5916924484852,400.93500995594604
2020-09-11 21:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-11 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-11 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 07:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 08:00:00+02:00,10.400862380989118,21.59197712707017,0.6000006316421117,568.996899689969,341.3984992163847,167.6685228919275
2020-09-12 09:00:00+02:00,35.234186024141835,24.234128045998304,1.9800014183236507,592.1992199219922,1172.555295375704,1028.3368031623252
2020-09-12 10:00:00+02:00,344.6561235293981,43.58011935218995,18.90001691078199,593.7993799379938,11222.818322439942,11035.134185880606
2020-09-12 11:00:00+02:00,630.0693340150652,61.624255597860774,34.02027482748275,554.1954195419542,18853.880480949385,18513.77467048782
2020-09-12 12:00:00+02:00,903.7319051660777,78.25125800648226,48.6568716871687,512.8312831283129,24952.765940340403,24486.59695338365
2020-09-12 13:00:00+02:00,896.6246196167576,77.71614818825081,48.36065556555656,512.5912591259125,24789.249328503207,24535.025218486582
2020-09-12 14:00:00+02:00,759.8029504110973,70.06298502574433,40.50350135013502,533.1533153315331,21594.57602735971,21279.66692439458
2020-09-12 15:00:00+02:00,534.6471150915836,57.37263583911117,27.898179817981802,564.036403640364,15735.589012646642,15543.40306613887
2020-09-12 16:00:00+02:00,317.92995682989437,45.07864853356373,15.660026502650265,589.3989398939893,9230.003019373844,9055.672788441632
2020-09-12 17:00:00+02:00,101.78971981426893,32.62632935182189,4.800001902629288,597.3997399739974,2867.519888505429,2556.033983059102
2020-09-12 18:00:00+02:00,211.372247810985,38.82113138053563,11.244000525052504,599.7199719971998,6743.251680020988,6336.546176695573
2020-09-12 19:00:00+02:00,136.48343914307,33.9238966045729,7.4394735125686475,603.6403640364036,4490.766499366121,4160.869305313731
2020-09-12 20:00:00+02:00,29.192993826301493,26.12551093444237,1.6200763780081713,587.5587558755876,951.8900610859093,743.6294194477782
2020-09-12 21:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-12 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-13 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-13 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-13 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-13 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-13 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-13 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-13 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-13 07:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-09-13 08:00:00+02:00,49.563223431091295,23.661910493499537,2.7601468646864693,608.3608360836083,1679.1652543142106,1404.688071378041
2020-09-13 09:00:00+02:00,389.8258773817283,44.097530796311325,21.838517851785177,595.2395239523953,12999.148969922495,12663.730543433277
2020-09-13 10:00:00+02:00,1111.4916205378604,86.26162402269941,61.37566156615662,489.22892289228923,30026.748799812478,29524.922657739204
2020-09-13 11:00:00+02:00,1139.9469046267832,90.24671925768467,62.281206120612055,479.3879387938794,29856.85902775696,29541.47049241677
