,zenith,azimuth
2021-12-31 23:00:00+00:00,,317.0649738639659
2022-01-01 00:00:00+00:00,153.18271688102266,317.0649738639659
2022-01-01 01:00:00+00:00,153.18271688102266,17.989232844270795
2022-01-01 02:00:00+00:00,148.0598972867306,44.3548584576712
2022-01-01 03:00:00+00:00,140.07169102839907,63.762450315023855
2022-01-01 04:00:00+00:00,130.7444291387327,78.3848022666099
2022-01-01 05:00:00+00:00,120.9288573351612,90.42135061447993
2022-01-01 06:00:00+00:00,111.11400219443134,101.25478902939037
2022-01-01 07:00:00+00:00,101.65135261498503,111.746284770065
2022-01-01 08:00:00+00:00,92.74832564833697,122.48611206838794
2022-01-01 09:00:00+00:00,84.92063314127354,133.9059832303213
2022-01-01 10:00:00+00:00,78.68374363527113,146.28849029152562
2022-01-01 11:00:00+00:00,74.21987003734642,159.7013973778405
2022-01-01 12:00:00+00:00,71.96954729860289,173.9122131441283
2022-01-01 13:00:00+00:00,72.16454859768928,188.39465268164614
2022-01-01 14:00:00+00:00,74.78406350434999,202.50956202425837
2022-01-01 15:00:00+00:00,79.56177862032114,215.76939045277507
2022-01-01 16:00:00+00:00,86.01168894734731,227.99244478286266
2022-01-01 17:00:00+00:00,94.12964394803382,239.28674854502677
2022-01-01 18:00:00+00:00,103.09823467369594,249.9615891144818
2022-01-01 19:00:00+00:00,112.63507514004036,260.47137341820616
2022-01-01 20:00:00+00:00,122.47104466805361,271.4394479166131
2022-01-01 21:00:00+00:00,132.24116689787064,283.7895998622936
2022-01-01 22:00:00+00:00,141.41632404404928,299.0176855227016
2022-01-01 23:00:00+00:00,149.05602310429882,319.432954870968
2022-01-02 00:00:00+00:00,153.52358358396867,316.85483240220213
2022-01-02 01:00:00+00:00,153.12434741032592,17.715166715494114
2022-01-02 02:00:00+00:00,148.04047046567746,44.09685886063749
2022-01-02 03:00:00+00:00,140.07584537967938,63.546898526019035
2022-01-02 04:00:00+00:00,130.75943948077253,78.20304125620925
2022-01-02 05:00:00+00:00,120.94655611282035,90.26113460760875
2022-01-02 06:00:00+00:00,111.12882892293186,101.10702946050881
2022-01-02 07:00:00+00:00,101.65892166984926,111.60485431629148
2022-01-02 08:00:00+00:00,92.73534146169742,122.34716617692271
2022-01-02 09:00:00+00:00,84.90370151477364,133.76782005410723
2022-01-02 10:00:00+00:00,78.64759264763471,146.15190009225608
2022-01-02 11:00:00+00:00,74.16272349881119,159.57001309565464
2022-01-02 12:00:00+00:00,71.89097840445795,173.79192872624535
2022-01-02 13:00:00+00:00,72.0664858042813,188.2914920321451
2022-01-02 14:00:00+00:00,74.67049429102416,202.4270433263834
2022-01-02 15:00:00+00:00,79.4378779338386,215.70744408373872
2022-01-02 16:00:00+00:00,85.88792466673007,227.94834977062456
2022-01-02 17:00:00+00:00,93.98571114708447,239.25669831803393
2022-01-02 18:00:00+00:00,102.95924562772612,249.94165704588985
2022-01-02 19:00:00+00:00,112.49513627584679,260.45757344377455
2022-01-02 20:00:00+00:00,122.33075794669017,271.4268489384867
2022-01-02 21:00:00+00:00,132.10107616030265,283.76992230376584
2022-01-02 22:00:00+00:00,141.27804244092965,298.9736788273567
2022-01-02 23:00:00+00:00,148.92544212539255,319.3293821350723
2022-01-03 00:00:00+00:00,153.4161301581991,322.651376425945
2022-01-03 01:00:00+00:00,153.05788779294463,17.441206435243163
2022-01-03 02:00:00+00:00,148.01342004523767,43.83408905334647
2022-01-03 03:00:00+00:00,140.0730647970102,63.325231419762204
2022-01-03 04:00:00+00:00,130.7679641508635,78.01534741057547
2022-01-03 05:00:00+00:00,120.95795406502388,90.09553485500466
2022-01-03 06:00:00+00:00,111.13733988764527,100.95447238809264
2022-01-03 07:00:00+00:00,101.6600183380789,111.45920461860891
2022-01-03 08:00:00+00:00,92.72666002795874,122.20461389403802
2022-01-03 09:00:00+00:00,84.8803602075873,133.62677266206293
2022-01-03 10:00:00+00:00,78.60406783625922,146.01333851221645
2022-01-03 11:00:00+00:00,74.09775818659956,159.43781137660008
2022-01-03 12:00:00+00:00,71.80442851723518,173.67218684951277
2022-01-03 13:00:00+00:00,71.96056387562295,188.19029297415958
2022-01-03 14:00:00+00:00,74.54938665695259,202.3477690618787
2022-01-03 15:00:00+00:00,79.30669444864687,215.6497637780356
2022-01-03 16:00:00+00:00,85.75547149021934,227.90928175408683
2022-01-03 17:00:00+00:00,93.83629855483485,239.23226259937232
2022-01-03 18:00:00+00:00,102.81553293322078,249.92786657647244
2022-01-03 19:00:00+00:00,112.35075790441259,260.45048783904275
2022-01-03 20:00:00+00:00,122.18612001567772,271.42167315511455
2022-01-03 21:00:00+00:00,131.95645838814596,283.7585684583512
2022-01-03 22:00:00+00:00,141.13468526239356,298.9389904205016
2022-01-03 23:00:00+00:00,148.7887523627259,319.2354633741364
2022-01-04 00:00:00+00:00,153.3012534965503,322.454944693415
2022-01-04 01:00:00+00:00,152.98335045233938,17.167856800674826
2022-01-04 02:00:00+00:00,147.97869185246964,43.56696945847419
2022-01-04 03:00:00+00:00,140.0632682657689,63.09773823248972
2022-01-04 04:00:00+00:00,130.7699181942999,77.8219305088435
2022-01-04 05:00:00+00:00,120.96297167724721,89.9247192676537
2022-01-04 06:00:00+00:00,111.1394653827301,100.79726352887627
2022-01-04 07:00:00+00:00,101.65458547437224,111.3094694626819
2022-01-04 08:00:00+00:00,92.71280709565038,122.05858256854555
2022-01-04 09:00:00+00:00,84.85179267569669,133.48296481064935
2022-01-04 10:00:00+00:00,78.55381079214216,145.87292703830718
