,g_poa,t_mod,i_dc,v_dc,p_dc,p_ac
2020-07-01 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 07:00:00+02:00,31.26326273260327,21.922348896102626,1.7398614280032652,597.2397239723973,1039.1143590108911,821.382254866209
2020-07-01 08:00:00+02:00,110.85699151348038,27.73889294868689,6.059986198619862,613.8013801380139,3719.627892330188,3407.048177339621
2020-07-01 09:00:00+02:00,259.0356370349799,37.41954913340621,13.860837512322663,609.1609160916091,8443.480476803414,8163.672349304672
2020-07-01 10:00:00+02:00,493.8594498387426,51.09488876483276,26.46178817881788,582.7582758275828,15420.82605440262,14613.078266956618
2020-07-01 11:00:00+02:00,149.35201225282313,32.88726836233846,7.860468526852686,609.5609560956095,4791.4347105877705,4563.579577845404
2020-07-01 12:00:00+02:00,53.71159357469727,28.19553537256804,2.8201629892719002,597.959795979598,1686.3440856942386,1590.875378187901
2020-07-01 13:00:00+02:00,32.14526530990845,27.337616436612574,1.6800022883644299,590.999099909991,992.8798402701032,859.0329591690356
2020-07-01 14:00:00+02:00,109.98846602088084,31.196947944496657,5.759594759475948,605.2405240524052,3485.94015055471,3385.671392085491
2020-07-01 15:00:00+02:00,200.5927127539694,35.34661668422871,10.499986939870457,607.4007400740074,6377.6998380447285,6244.78833487005
2020-07-01 16:00:00+02:00,36.92393806500028,26.297092725538224,1.9715107016319613,584.9184918491849,1153.173066263095,1028.2467214138617
2020-07-01 17:00:00+02:00,155.56825585169238,32.66999213163877,8.159980103273485,612.6012601260127,4998.814093868528,4819.928345769596
2020-07-01 18:00:00+02:00,90.86065440907277,29.489287088331896,4.8599975673243,603.000300030003,2930.579991241638,2860.7455459405855
2020-07-01 19:00:00+02:00,169.12225058411616,33.97840394731669,9.059984524768264,609.8009800980099,5524.78744287649,5182.779805218928
2020-07-01 20:00:00+02:00,129.18147965719905,31.266014806641316,6.780415755861302,611.9611961196119,4149.351336145145,3877.880450061425
2020-07-01 21:00:00+02:00,32.3852886674924,24.505448913155963,1.8000001525576284,599.3999399939994,1078.9199834322321,940.8719979157668
2020-07-01 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-01 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-02 07:00:00+02:00,62.43268047935898,23.099456454631778,1.5598909702290986,585.2385238523852,912.9082887875427,738.871366574213
2020-07-02 08:00:00+02:00,170.9739824868402,31.206524571648096,8.640502485031112,614.7614761476148,5311.84806235486,5055.520283720896
2020-07-02 09:00:00+02:00,295.07934926577354,40.117322709846746,15.778903526716304,602.0402040204021,9499.534298442526,9260.420827349762
2020-07-02 10:00:00+02:00,476.29427481294033,52.39474992477158,25.620086580086582,579.7979797979798,14854.474441383532,14479.456756812011
2020-07-02 11:00:00+02:00,438.50591902242587,50.74427173138508,23.520063756375638,582.998299829983,13712.1571818598,13372.766998642592
2020-07-02 12:00:00+02:00,658.2396032836848,62.27450469287613,35.82024362436243,559.3959395939594,20037.698838734756,19766.891280422205
2020-07-02 13:00:00+02:00,321.76018279036185,44.31837053330656,17.160011455691023,595.7995799579958,10223.927617375108,10079.509623300764
2020-07-02 14:00:00+02:00,417.18902778044196,49.593483605916035,21.832566756675668,582.1982198219822,12710.881499881161,12283.317966622973
2020-07-02 15:00:00+02:00,299.41197806975293,43.73852818569716,15.660016155461703,592.999299929993,9286.378617081169,8756.944724714764
2020-07-02 16:00:00+02:00,579.7394193323122,59.72302198519218,30.660181018101813,563.7963796379638,17286.099057050422,16295.256056802751
2020-07-02 17:00:00+02:00,513.343138040073,55.66686814905192,27.11814581458146,570.8370837083709,15480.043272374045,15269.272261706948
2020-07-02 18:00:00+02:00,204.07259628461904,37.67616529992444,10.859247674767474,601.2401240124013,6529.015418658577,6364.405717063638
2020-07-02 19:00:00+02:00,411.9507873629963,48.63610643064224,21.98855085508551,586.4386438643864,12894.935943999442,12614.275615898985
2020-07-02 20:00:00+02:00,296.96636619574963,41.66308507713781,14.28000138475386,599.3999399939994,8559.431973135692,8404.145168418645
2020-07-02 21:00:00+02:00,59.166880179821646,26.993197084744505,2.7601486074533383,598.7598759875988,1652.6662379061042,1547.744359829989
2020-07-02 22:00:00+02:00,21.00282310669436,23.120887329136316,1.1998822912594294,588.4388438843885,706.0573482660496,555.2381484545239
2020-07-02 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 07:00:00+02:00,7.707570774614263,20.243028977120634,0.4200079226672667,594.3594359435945,249.6356720083575,74.03745210713087
2020-07-03 08:00:00+02:00,138.90557133027843,28.74050244716176,7.55997299729973,619.8019801980198,4685.686233969932,4591.1929866425435
2020-07-03 09:00:00+02:00,80.25824425038319,27.375669290633926,4.320253851472104,610.7610761076107,2638.642891383152,2391.026045599602
2020-07-03 10:00:00+02:00,46.47312497525855,25.92501696585978,2.4601602322394402,604.7604760476047,1487.8076732025097,1249.8456184857464
2020-07-03 11:00:00+02:00,248.00890799732062,37.195355629771896,13.038838883888387,608.5208520852086,7934.405347825512,7566.978603228818
2020-07-03 12:00:00+02:00,627.0628866377317,60.1247330844003,34.0802196219622,563.3963396339634,19200.67098893508,18454.757253385807
2020-07-03 13:00:00+02:00,677.4974433213856,63.89114414404857,37.140274827482756,554.1954195419542,20582.970189920285,19425.176729794577
2020-07-03 14:00:00+02:00,763.4910988871862,67.88526508520295,41.94341734173417,544.3544354435444,22832.085267632672,22066.583906964886
2020-07-03 15:00:00+02:00,940.2813447564544,75.76414713492454,51.5967716771677,522.8322832283229,26976.457943184054,26212.171279349244
2020-07-03 16:00:00+02:00,970.4815272356003,75.56751320618528,52.648734873487335,526.5126512651266,27720.224983994547,26501.690638630687
2020-07-03 17:00:00+02:00,690.1063670539196,60.00136509004188,37.85728172817281,562.4362436243625,21292.30732902273,20489.14356684511
2020-07-03 18:00:00+02:00,634.3360347847661,56.358861876384395,34.45215481548154,574.1974197419743,19782.338399600536,19145.31692637753
2020-07-03 19:00:00+02:00,368.3499602198002,42.25570508525499,19.49999933326666,600.2000200020002,11703.89998986564,11212.386400219379
2020-07-03 20:00:00+02:00,162.94869045798578,30.987691832302218,8.09997509750975,616.6016601660167,4994.458092427905,4796.3165841567825
2020-07-03 21:00:00+02:00,71.30363424152058,25.367314062384057,3.060194419441944,611.1611161116111,1870.2718369046622,1638.5859545689884
2020-07-03 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-03 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 00:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 01:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 02:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 03:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 04:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 05:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 06:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 07:00:00+02:00,44.03833494614367,21.605069999568336,2.159820687951148,606.4406440644065,1309.8030490647236,1111.1066727898947
2020-07-04 08:00:00+02:00,184.07639368265967,30.945894292839657,9.301171617161716,618.921892189219,5756.698736870387,5413.0031560599045
2020-07-04 09:00:00+02:00,340.0419920458923,41.13901871690541,17.818792679267926,602.4402440244024,10734.757809918405,10032.922474963038
2020-07-04 10:00:00+02:00,585.939169415122,56.480168004866876,31.73777737773777,570.4370437043705,18104.403901104182,17101.94221678698
2020-07-04 11:00:00+02:00,750.5489069343754,66.98677051445331,40.98640114011401,546.5146514651465,22399.668733900093,21554.410761129697
2020-07-04 12:00:00+02:00,729.4006187119783,66.03843334163864,39.9603204320432,546.5946594659466,21842.09773870276,20999.575960510243
2020-07-04 13:00:00+02:00,768.8319436380474,67.7104597426308,41.703405340534054,545.954595459546,22768.16579197674,22302.883182212572
2020-07-04 14:00:00+02:00,823.7016876353509,69.62173217167074,45.1204605460546,538.5938593859387,24301.602982770528,23086.689974783694
2020-07-04 15:00:00+02:00,797.3765174977066,67.28066295376507,43.440403540354026,546.1946194619462,23726.914680997048,23466.823225191936
2020-07-04 16:00:00+02:00,762.9126225714,64.67390706762046,41.58034653465347,553.7953795379537,23027.00379047806,22137.428503427444
2020-07-04 17:00:00+02:00,722.2102609865701,62.20083214229528,39.24025082508251,558.1958195819582,21903.743969908544,21616.365841456634
2020-07-04 18:00:00+02:00,565.956528534105,54.46938720393021,30.420113011301126,577.3977397739775,17564.504496394235,17244.801280254953
2020-07-04 19:00:00+02:00,510.8381519995689,51.81159317354103,26.9380898089809,582.038203820382,15678.997406771381,15400.05178201929
2020-07-04 20:00:00+02:00,205.22879106564847,35.91816309028441,10.439280633945748,607.6407640764077,6343.3324608188395,6256.640520977304
2020-07-04 21:00:00+02:00,16.220439501573914,24.937346048049285,0.900008145646691,587.5587558755876,528.8076663340644,365.01387526367756
2020-07-04 22:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-04 23:00:00+02:00,0.0,,0.0,,0.0,0.0
2020-07-05 00:00:00+02:00,0.0,,0.0,,0.0,0.0
