,gpoa,pdc,pac
2020-10-08 16:00:00-07:00,527.808742777506,1547.78794731961,1453.8684864301636
2020-10-08 17:00:00-07:00,252.582948557535,735.809545767301,685.3369698396267
2020-10-08 18:00:00-07:00,58.5438391140529,141.862645346353,113.77701620710658
2020-10-08 19:00:00-07:00,0.0,,
2020-10-08 20:00:00-07:00,0.0,,
2020-10-08 21:00:00-07:00,0.0,,
2020-10-08 22:00:00-07:00,0.0,,
2020-10-08 23:00:00-07:00,0.0,,
2020-10-09 00:00:00-07:00,0.0,,
2020-10-09 01:00:00-07:00,0.0,,
2020-10-09 02:00:00-07:00,0.0,,
2020-10-09 03:00:00-07:00,0.0,,
2020-10-09 04:00:00-07:00,0.0,,
2020-10-09 05:00:00-07:00,0.0,,
2020-10-09 06:00:00-07:00,0.0,,
2020-10-09 07:00:00-07:00,79.57598380014,176.461110243021,147.8760859729514
2020-10-09 08:00:00-07:00,330.259379323323,936.025054283697,873.4489585973897
2020-10-09 09:00:00-07:00,586.136327107747,1717.4845347840399,1626.5880913069386
2020-10-09 10:00:00-07:00,804.698962402343,2302.52835898861,2209.076071539607
2020-10-09 11:00:00-07:00,964.174546305338,2678.52880360135,2561.9803549382823
2020-10-09 12:00:00-07:00,1056.94282735188,2835.6953704153334,2666.0
2020-10-09 13:00:00-07:00,1041.1678334554,2802.52436801202,2666.0
2020-10-09 14:00:00-07:00,951.089705403645,2651.9025874915,2517.769083521895
2020-10-09 15:00:00-07:00,781.971119181315,2234.10811914499,2126.0188399189506
2020-10-09 16:00:00-07:00,546.892361195882,1613.44847880414,1524.027420248657
2020-10-09 17:00:00-07:00,287.815107981363,852.7481994693769,790.9461855168277
2020-10-09 18:00:00-07:00,73.0079551843496,182.141010025687,151.5502933189349
2020-10-09 19:00:00-07:00,0.0,,
2020-10-09 20:00:00-07:00,0.0,,
2020-10-09 21:00:00-07:00,0.0,,
2020-10-09 22:00:00-07:00,0.0,,
2020-10-09 23:00:00-07:00,0.0,,
