,gpoa,pdc,pac
2020-01-04 18:00:00-07:00,0.0,,
2020-01-04 19:00:00-07:00,0.0,,
2020-01-04 20:00:00-07:00,0.0,,
2020-01-04 21:00:00-07:00,0.0,,
2020-01-04 22:00:00-07:00,0.0,,
2020-01-04 23:00:00-07:00,0.0,,
2020-01-05 00:00:00-07:00,0.0,,
2020-01-05 01:00:00-07:00,0.0,,
2020-01-05 02:00:00-07:00,0.0,,
2020-01-05 03:00:00-07:00,0.0,,
2020-01-05 04:00:00-07:00,0.0,,
2020-01-05 05:00:00-07:00,0.0,,
2020-01-05 06:00:00-07:00,0.0,,
2020-01-05 07:00:00-07:00,0.0,,
2020-01-05 08:00:00-07:00,50.0721321717286,286.71987760748203,251.708511240042
2020-01-05 09:00:00-07:00,445.680730438232,1278.66668470123,1192.9050536019902
2020-01-05 10:00:00-07:00,654.710301717122,2074.12527517726,1959.176100083123
2020-01-05 11:00:00-07:00,837.347292073567,2578.31739678121,2445.479242387825
2020-01-05 12:00:00-07:00,979.222226969401,2906.9440517588105,2748.1889536623585
2020-01-05 13:00:00-07:00,1006.70995890299,2963.29249944657,2761.1852011162105
2020-01-05 14:00:00-07:00,937.428249104817,2817.17782790694,2660.9288161536706
2020-01-05 15:00:00-07:00,785.013112386067,2419.035776595,2294.097462690702
2020-01-05 16:00:00-07:00,553.337397766113,1691.82280883898,1620.326141044853
2020-01-05 17:00:00-07:00,218.558877351149,505.30655158082294,466.2859974932977
2020-01-05 18:00:00-07:00,0.0,,
2020-01-05 19:00:00-07:00,0.0,,
2020-01-05 20:00:00-07:00,0.0,,
2020-01-05 21:00:00-07:00,0.0,,
2020-01-05 22:00:00-07:00,0.0,,
2020-01-05 23:00:00-07:00,0.0,,
2020-01-06 00:00:00-07:00,0.0,,
2020-01-06 01:00:00-07:00,0.0,,
2020-01-06 02:00:00-07:00,0.0,,
2020-01-06 03:00:00-07:00,0.0,,
2020-01-06 04:00:00-07:00,0.0,,
2020-01-06 05:00:00-07:00,0.0,,
2020-01-06 06:00:00-07:00,0.0,,
2020-01-06 07:00:00-07:00,0.0,,
2020-01-06 08:00:00-07:00,43.9884145471784,238.089371792817,208.413056088115
2020-01-06 09:00:00-07:00,458.967272694905,1336.68964544616,1254.286319096261
2020-01-06 10:00:00-07:00,719.363322957356,2324.18922191925,2174.4264421894813
2020-01-06 11:00:00-07:00,901.423520914713,2851.96460664103,2703.6397605706443
2020-01-06 12:00:00-07:00,1012.37971801757,3177.4236992308606,2982.5772287593777
2020-01-06 13:00:00-07:00,1027.03470052083,3190.7097352844394,2982.750211595337
2020-01-06 14:00:00-07:00,958.269918823242,2998.21742618404,2837.3630515649425
