,i_dc,v_dc,p_dc,p_ac
2020-07-01 00:00:00+02:00,0.0,,0.0,0.0
2020-07-01 01:00:00+02:00,0.0,,0.0,0.0
2020-07-01 02:00:00+02:00,0.0,,0.0,0.0
2020-07-01 03:00:00+02:00,0.0,,0.0,0.0
2020-07-01 04:00:00+02:00,0.0,,0.0,0.0
2020-07-01 05:00:00+02:00,0.0,,0.0,0.0
2020-07-01 06:00:00+02:00,0.0,,0.0,0.0
2020-07-01 07:00:00+02:00,2.039829616764494,603.2403240324032,1230.507478987906,1004.1719498519573
2020-07-01 08:00:00+02:00,0.30000764132895963,603.1603160316032,180.95270375587114,1.4639701738480853
2020-07-01 09:00:00+02:00,8.699380138013803,613.2413241324132,5334.819394966799,5065.505186192084
2020-07-01 10:00:00+02:00,20.820011334466777,596.5996599659966,12421.211682631074,11909.425287883128
2020-07-01 11:00:00+02:00,22.680032253225324,591.3991399139913,13412.95156777904,12841.201615476439
2020-07-01 12:00:00+02:00,19.200016201620166,594.5994599459946,11416.319264437696,11370.601284404589
2020-07-01 13:00:00+02:00,11.099240174017403,605.2405240524052,6717.709939505803,6647.0628409643095
2020-07-01 14:00:00+02:00,1.919872032147035,579.6379637963796,1112.8307154633249,985.6620654358774
2020-07-01 15:00:00+02:00,1.6798607571600537,585.2385238523852,983.1192297979001,810.6504382274438
2020-07-01 16:00:00+02:00,16.559986198619864,604.6004600460046,10012.175274041057,9604.889706847081
2020-07-01 17:00:00+02:00,20.81853135313531,591.6391639163917,12317.05848373616,11718.556111591302
2020-07-01 18:00:00+02:00,9.11935509340408,608.4408440844085,5548.588110536228,5314.671927382535
2020-07-01 19:00:00+02:00,10.860691833889272,607.9607960796079,6602.874853306618,6380.897193197787
2020-07-01 20:00:00+02:00,8.459414798622719,609.6409640964097,5157.20579352379,4965.398132109276
2020-07-01 21:00:00+02:00,2.8201521690630607,604.3604360436043,1704.388394604268,1514.2742937404807
2020-07-01 22:00:00+02:00,0.0,,0.0,0.0
2020-07-01 23:00:00+02:00,0.0,,0.0,0.0
2020-07-02 00:00:00+02:00,0.0,,0.0,0.0
2020-07-02 01:00:00+02:00,0.0,,0.0,0.0
2020-07-02 02:00:00+02:00,0.0,,0.0,0.0
2020-07-02 03:00:00+02:00,0.0,,0.0,0.0
2020-07-02 04:00:00+02:00,0.0,,0.0,0.0
2020-07-02 05:00:00+02:00,0.0,,0.0,0.0
2020-07-02 06:00:00+02:00,0.0,,0.0,0.0
2020-07-02 07:00:00+02:00,0.9600000897067282,595.3995399539954,571.5836117671803,414.1491683815548
2020-07-02 08:00:00+02:00,7.740441736481341,617.1617161716172,4777.104306013237,4569.2925086135865
2020-07-02 09:00:00+02:00,11.520732073207322,609.5609560956095,7022.588457465608,6845.125516208438
2020-07-02 10:00:00+02:00,32.34018901890189,562.1962196219622,18181.532008286336,17896.5466282754
2020-07-02 11:00:00+02:00,43.20046954695469,537.3937393739375,23215.661872547895,22448.22965127344
2020-07-02 12:00:00+02:00,41.640409540954096,545.3945394539454,22710.451984262334,22194.638938328906
2020-07-02 13:00:00+02:00,32.76018701870187,562.5962596259626,18430.758681368687,18020.561738069027
2020-07-02 14:00:00+02:00,37.980296429642976,550.5950595059505,20911.763572732914,20744.188597027864
2020-07-02 15:00:00+02:00,31.80018101810181,563.7963796379638,17928.826929837698,17594.385585114167
2020-07-02 16:00:00+02:00,34.98027242724273,554.5954595459546,19399.900261829367,19182.915404580224
2020-07-02 17:00:00+02:00,19.140034203420342,588.5988598859886,11265.80231031204,11065.380820827362
2020-07-02 18:00:00+02:00,12.239996142471389,601.8001800180018,7366.031881958929,7168.922213797834
2020-07-02 19:00:00+02:00,18.900024602460245,591.7991799179918,11185.019060165841,10928.982576756915
2020-07-02 20:00:00+02:00,7.8004885488548865,609.1609160916091,4751.7527503825495,4574.294807363388
2020-07-02 21:00:00+02:00,2.877873464765831,594.8394839483949,1711.872766650086,1463.729471909972
2020-07-02 22:00:00+02:00,0.0,,0.0,0.0
2020-07-02 23:00:00+02:00,0.0,,0.0,0.0
2020-07-03 00:00:00+02:00,0.0,,0.0,0.0
2020-07-03 01:00:00+02:00,0.0,,0.0,0.0
2020-07-03 02:00:00+02:00,0.0,,0.0,0.0
2020-07-03 03:00:00+02:00,0.0,,0.0,0.0
2020-07-03 04:00:00+02:00,0.0,,0.0,0.0
2020-07-03 05:00:00+02:00,0.0,,0.0,0.0
2020-07-03 06:00:00+02:00,0.0,,0.0,0.0
2020-07-03 07:00:00+02:00,2.4599911755881463,615.0015001500151,1512.8982633425092,1273.7987383635766
2020-07-03 08:00:00+02:00,2.219995821010672,607.8007800780078,1349.3151917802038,1235.2639481449671
2020-07-03 09:00:00+02:00,10.379979174388025,611.8011801180119,6350.48350849098,6035.133574922077
2020-07-03 10:00:00+02:00,18.5399966663333,601.000100010001,11142.539850651398,10754.171999239576
2020-07-03 11:00:00+02:00,38.820282028202826,552.995299529953,21467.43348802327,20665.590106303855
2020-07-03 12:00:00+02:00,46.56054755475547,526.992699269927,24537.068635366388,23605.900254222972
2020-07-03 13:00:00+02:00,46.500556555655564,525.7925792579258,24449.64756832719,24060.788637723756
2020-07-03 14:00:00+02:00,51.68883088308831,516.9116911691169,26718.560986331657,25994.381696879045
2020-07-03 15:00:00+02:00,53.284800480048006,519.95199519952,27705.5383234093,26908.291739974502
2020-07-03 16:00:00+02:00,44.46041254125412,544.994499449945,24230.68027825885,23746.55387856126
2020-07-03 17:00:00+02:00,43.50336933693369,550.7550755075508,23959.701463995785,23592.731240432233
